id_circo,Nom de la circonscription,Inscrit_22,pop_légal_19,pop_légal_13,tvar_pop,pop_pole_aav,pop_cour_aav,pop_horsaav,pop_urb,pop_rur_periu,pop_rur_non_periu,age_moyen,dec90,dec75,dec50,dec25,dec10,actemp,actcho,inactret,inactetu,inactm14,inactaut,actemp_hom,actcho_hom,inactret_hom,inactetu_hom,inactm14_hom,inactaut_hom,actemp_fem,actcho_fem,inactret_fem,inactetu_fem,inactm14_fem,inactaut_fem,actdip_PEU,actdip_CAP,actdip_BAC,actdip_BAC2,actdip_BAC3,actdip_BAC5,actdip_BAC3P,act_agr,act_art,act_cad,act_int,act_emp,act_ouv,act_cho,log_res,log_sec,log_vac,proprio,locatai,gratuit,maison,ach90,mfuel,men_seul,men_coupae,men_coupse,men_monop,men_sfam,men_seul_com,men_coupse_com,men_coupae_com,men_monop_com,men_complexe_com,seul_hom1829,seul_hom3059,seul_hom6074,seul_hom7584,seul_hom85,seul_fem1829,seul_fem3059,seul_fem6074,seul_fem7584,seul_fem85,iranr_log,iranr_com,iranr_dep,iranr_fra,iranr_etr,mobresid,ilt_com,ilt_dep,ilt_fra,ilt_etr,mobtrav,modtrans_aucun,modtrans_pied,modtrans_velo,modtrans_moto,modtrans_voit,modtrans_commun,tx_pauvrete60_diff,nivvie_median_diff,part_pauvres_diff,part_modestes_diff,part_medians_diff,part_plutot_aises_diff,part_aises_diff,D1_diff,D9_diff,rpt_D9_D1_diff,tx_pauvrete60_diff_trageRF1,tx_pauvrete60_diff_trageRF2,tx_pauvrete60_diff_trageRF3,tx_pauvrete60_diff_trageRF4,tx_pauvrete60_diff_trageRF5,tx_pauvrete60_diff_trageRF6,PACT,PPEN,PPAT,PPSOC,PIMPOT,acc_ecole,acc_college,acc_lycee,acc_medecin,acc_dentiste,acc_pharmacie,part_eloig,id_dep
78001,Yvelines  - 1re circonscription,83285,121778,122067,0.0,100,0,0,100,0,0,38.7,71,56,38,19,8,45.8,4.4,16.6,10.9,17.8,4.5,48.6,4.3,15.1,11.4,18.7,1.8,43.1,4.5,18.1,10.4,16.9,7.0,9.1,10.9,14.1,13.3,15,37.6,52.6,0.0,3.7,42.4,25.0,20.6,7.3,0.9,90.8,3.4,5.8,48.8,49.4,1.8,19.1,76.3,0.6,37.3,28.3,23.2,9.5,1.8,37.3,23.0,28.2,9.5,2.0,22.5,18.7,18.4,18.5,25.7,21.2,13.3,30.9,45.9,58.7,87.4,4.1,3,4.6,0.9,7.9,26.4,32.2,41,0.3,63,3.5,8,2.6,2.5,48.9,34.5,8.2,29990,8.2,14.6,17.4,30.6,29.2,14110,57160,4.1,17.1,9.3,8.8,7.8,5.5,5,87.4,23.1,11.8,2.9,-25.2,100,100,100,100,100,100,0,78
78002,Yvelines  - 2e circonscription,85933,123018,119701,0.5,68,32,0,96,4,0,39.0,71,56,39,19,8,47.5,3.7,17.5,9.9,17.8,3.6,50.6,3.5,15.5,10.4,18.5,1.6,44.6,3.8,19.4,9.4,17.2,5.6,8.1,11.2,15.3,15.1,14.8,35.5,50.3,0.1,4.4,41.0,25.5,21.5,6.7,0.8,90.2,3.6,6.2,55.6,39.1,5.3,40.4,76.3,3.4,33.3,31.5,25.5,8.3,1.5,33.3,25.4,31.3,8.2,1.8,21.7,14.9,15.6,17.1,21.3,16.8,10.7,27.5,42.7,46.2,87.9,3.2,2.8,5.3,0.7,7.6,23.7,30.8,45.2,0.3,62.4,3.3,6.8,2.8,2.8,54,30.4,5.2,31510,5.2,11.1,18.3,35,30.5,16650,56930,3.4,13.8,6.8,5.1,5,5,5,88.9,22.8,10.7,2.2,-24.5,98.9,78.4,39.7,95.5,92.7,93.5,0,78
78003,Yvelines  - 3e circonscription,83249,114806,115671,-0.1,77.9,22.1,0,99.9,0.1,0,41.2,74,60,43,18,8,43.5,4.2,20.4,9.4,17.8,4.7,46.4,4.4,18.4,9.9,19.1,1.8,40.8,4.0,22.3,9.0,16.6,7.4,10.1,12.4,15.2,15.1,16,31.3,47.3,0.1,5.7,38.3,25.9,21.3,7.9,0.9,91.9,2.0,6.1,65.3,33.0,1.7,37,84,2.6,32.5,31.7,25.3,9.4,1.1,32.5,25.1,31.5,9.3,1.6,10.0,14.5,14.3,17.4,27.8,11.7,10.8,31.6,45.3,60.3,90.2,2.6,3.3,3.1,0.7,6.3,17,36.3,46.2,0.5,77.3,3.2,5.5,1.5,4.1,60.3,25.3,6.2,31120,6.2,12.9,17.7,31.2,31.9,15520,62760,4,13.4,8.9,6.9,6,5,5,84.5,26.2,14.1,2.2,-27,99.9,90.2,58.1,98.3,98.3,99.9,0,78
78004,Yvelines  - 4e circonscription,79851,117265,117165,0.0,100,0,0,100,0,0,39.6,72,57,40,19,7,46.3,4.4,17.8,8.9,18.4,4.2,48.5,4.5,15.7,9.3,19.9,2.1,44.2,4.3,19.8,8.6,17.0,6.1,9.5,11.4,14.5,14.3,16,34.2,50.2,0.1,5.0,40.7,25.4,20.3,7.6,0.9,90.5,2.2,7.3,63.7,34.0,2.3,35.6,78,3.1,33.1,32.3,23.8,9.4,1.4,33.1,23.5,32.1,9.3,2.0,12.7,14.8,17.1,15.8,27.4,12.7,12.4,31.6,45.1,56.7,89.6,3.2,2.3,4.2,0.8,6.6,15.1,20.6,64,0.3,81,3.1,4.9,2.2,4,42.3,43.5,7.1,31000,7.1,12.8,17.5,31.5,31.1,15000,59460,4,12.1,7.9,7.2,7.4,5.9,5,90.6,21.6,11.2,2.4,-25.8,100,89.2,61.3,100,100,100,0,78
78005,Yvelines  - 5e circonscription,75287,113354,112188,0.2,100,0,0,100,0,0,39.5,72,57,40,19,7,45.0,4.9,18.1,8.8,18.5,4.7,47.3,5.0,16.5,9.1,19.9,2.3,42.9,4.9,19.5,8.5,17.3,6.9,12.5,13.8,14.4,13.0,14.4,31.9,46.3,0.0,5.6,36.8,23.9,22.1,10.5,1.2,92.4,1.8,5.8,60.3,37.8,2.0,39.3,79.1,3.7,31.8,33,23.7,10.2,1.4,31.8,23.4,32.7,10.0,2.0,11.9,13.7,15.5,18.6,29.5,10.9,11.3,29.0,45.9,55.0,91.1,3,1.7,3.4,0.8,5.4,16.7,19.4,63.5,0.3,78,2.9,4.4,1.6,2.9,39.4,48.7,8.8,29390,8.8,15.3,17.7,29.3,28.9,13740,60800,4.4,13.1,9.7,9.9,8.6,7.3,5,90.1,21.1,12.9,2.8,-26.9,100,94.4,81.2,100,100,100,0,78
78006,Yvelines  - 6e circonscription,75603,115680,111955,0.5,98.8,1.2,0,100,0,0,38.7,72,56,39,17,7,43.4,5.3,16.8,9.1,19.5,5.9,46.3,5.2,15.1,9.3,21.4,2.7,40.8,5.5,18.3,8.8,17.8,8.8,11.6,13.9,15.7,12.8,15.1,30.8,45.9,0.1,4.6,34.4,25.3,24.3,10.2,1.2,91.1,3.0,5.9,50.2,47.5,2.3,29.9,76.7,2.6,34.5,30.8,22,11.1,1.6,34.5,21.8,30.6,11.0,2.2,14.7,17.3,18.2,20.1,27.8,12.9,12.6,32.4,46.9,54.9,88,3.4,3.7,3.6,1.3,7.6,19.9,28.8,50.9,0.4,73.9,3.6,6.7,1.3,2.1,46.4,40,10.1,27710,10.1,17.3,18.9,26.9,26.7,13090,59210,4.5,13.9,12.4,11.9,9.3,7,5.1,88.3,21.5,12.8,3.2,-25.8,100,90.2,71.2,99.1,99.1,97.9,0,78
78007,Yvelines  - 7e circonscription,80234,123327,118448,0.7,82.8,17.2,0,100,0,0,38.2,70,56,38,17,7,43.9,5.4,17.5,8.2,20.0,5.0,45.9,5.5,16.1,8.3,21.2,3.0,42.1,5.2,18.9,8.1,18.9,6.9,13.3,18.2,19.4,16.3,13.9,18.9,32.8,0.1,4.6,26.1,28.6,25.2,14.0,1.4,91.5,1.6,6.9,62.1,36.4,1.5,53.8,74.4,5.4,28.5,34.9,23.9,11.1,1.5,28.5,23.8,34.6,11.0,2.1,9.3,13.1,14.8,18.9,27.8,8.5,9.3,26.5,45.4,48.6,90.6,2.9,3.2,3,0.3,5.3,15.6,32.9,51.3,0.2,77.9,3.3,3.9,0.7,1.5,54.9,35.6,10.6,25830,10.6,18.4,22.7,32.1,16.2,12890,45280,3.5,16.3,13.6,11.4,9.3,8,5.9,86.8,22.8,7.3,4.4,-21.2,100,87.2,49.4,96.1,96.1,96.1,0,78
78008,Yvelines  - 8e circonscription,74215,127340,124277,0.4,69.5,30.5,0,94.4,5.6,0,37.1,70,55,36,16,6,38.7,7.4,17.2,8.1,21.0,7.7,41.6,7.7,16.8,8.0,21.6,4.3,35.9,7.1,17.5,8.1,20.4,11.0,21.0,24.3,21.8,13.6,10.1,9.2,19.3,0.1,4.4,13.0,26.5,31.4,22.4,2.1,92.0,1.6,6.4,50.8,47.7,1.5,47.7,71.9,5.8,30.7,34.3,21.6,11.8,1.6,30.7,21.2,33.9,11.7,2.5,10.5,15.7,17.4,19.4,23.5,8.2,9.8,27.6,46.2,48.8,91.1,2.9,3.7,1.9,0.3,3.9,20.3,49.5,30,0.2,60.3,2.4,5.9,0.7,1.1,61.9,28,19.9,20320,19.9,27.5,25.2,21.7,5.7,10440,34680,3.3,23,22.7,23.3,19.1,15.5,11.7,76.9,24.7,5.7,8.4,-15.7,100,83.8,72,94.8,82.3,92.7,3.9,78
78009,Yvelines  - 9e circonscription,92669,141198,136501,0.6,0,100,0,65.2,34.8,0,38.7,70,57,39,17,7,42.5,5.5,18.5,7.6,20.0,5.9,45.1,5.3,18.1,7.4,20.7,3.5,40.0,5.7,18.9,7.8,19.3,8.3,16.8,24.1,20.8,15.7,11.3,11.3,22.6,0.4,6.2,18.3,27.9,27.2,18.7,1.3,89.2,4.0,6.7,67.3,30.9,1.8,68.3,73,12.5,26,36,26.2,10.5,1.4,26.0,25.8,35.6,10.4,2.2,7.1,12.3,13.7,15.1,27.4,5.5,7.8,24.0,43.7,53.6,91.7,2.1,3.9,2,0.3,4.7,18,51.7,30.2,0.1,68.5,3.4,4.1,0.6,1.2,70.8,19.9,11.5,24070,11.5,21.4,25.7,29.6,11.8,12580,41320,3.3,16.4,13.9,13.9,10.5,7.5,7.7,80.9,25.4,7.6,4.9,-18.8,97.9,52.7,36.2,71.5,63.1,68.9,4.9,78
78010,Yvelines  - 10e circonscription,91213,121912,120717,0.2,18.3,81.7,0,64.4,35.6,0,41.4,73,60,43,20,8,44.9,4.0,22.0,8.2,16.8,4.2,47.6,3.9,20.2,8.3,17.6,2.4,42.4,4.0,23.6,8.1,16.1,5.9,11.3,17.1,18.9,17.5,14.5,20.7,35.2,0.5,5.7,30.2,28.7,23.5,10.9,0.7,89.6,3.7,6.7,69.9,27.3,2.8,65.1,73.8,8.8,30.9,31,28.4,8.5,1.3,30.9,28.1,30.8,8.5,1.8,13.9,15.0,14.7,17.4,27.6,11.7,10.0,25.9,39.6,46.0,89.2,2.6,4.3,3.5,0.4,6.4,20,46.6,33.3,0.2,65.5,4.1,4.8,1,1.3,66.5,22.2,5.6,28390,5.6,14,22.8,37.3,20.3,15800,48680,3.1,12.2,7.1,6.5,5,5,5,82.1,27.1,10.1,2.8,-22.1,99.2,59.5,40.7,77.3,68.3,74.3,3.7,78
78011,Yvelines  - 11e circonscription,68878,120015,115035,0.7,100,0,0,100,0,0,35.9,68,53,35,17,6,44.5,5.6,14.3,8.3,21.1,6.3,47.1,5.4,13.1,8.2,21.6,4.6,42.0,5.8,15.4,8.3,20.6,7.9,16.9,17.8,19.5,15.3,12.5,17.9,30.4,0.0,3.6,23.5,27.0,28.5,16.0,1.4,91.7,1.8,6.6,49.1,49.5,1.4,28.1,71.1,1.8,32.2,32.9,20.8,12.3,1.8,32.2,20.5,32.5,12.1,2.7,15.5,16.9,16.7,14.4,29.3,12.8,11.2,30.5,41.9,53.7,88.6,4.3,3.9,2.7,0.5,6.1,17.4,51.6,30.8,0.1,74,2.2,4.5,1.2,1.6,60,30.4,14.5,23150,14.5,22.9,23.6,28.1,10.9,11750,40300,3.4,17.7,14.4,16.5,15,11.8,8.7,86.3,20.8,5.6,5.9,-18.6,100,94.5,43,100,94.5,100,0,78
78012,Yvelines  - 12e circonscription,70828,108514,104759,0.6,64.6,35.4,0,90,10,0,38.5,71,56,38,18,7,45.0,5.0,17.2,8.1,19.4,5.2,47.7,4.9,16.1,8.3,20.4,2.8,42.6,5.2,18.3,8.0,18.6,7.3,12.8,16.4,18.1,16.2,14.4,22.1,36.5,0.1,5.1,29.2,27.9,25.1,11.3,1.2,92.7,1.8,5.5,59.5,38.6,1.9,45.8,71.5,4,30.5,33.4,24,10.7,1.5,30.5,23.7,33.1,10.6,2.2,11.1,15.5,13.9,13.1,26.9,10.3,11.8,28.2,36.3,50.5,90.1,3.1,3.6,2.8,0.4,6.2,20.5,42.9,36.4,0.2,73.7,2.9,5.2,0.7,1.8,60.4,29.1,10,26520,10,18.1,21.3,31.9,18.7,13160,47930,3.6,12.2,11.3,11.8,9.8,6.7,6.2,87.8,22.1,8.2,3.8,-21.9,99.4,73.5,67.3,85.1,87.8,89.3,0,78
