,55455
Code localisation,FE
Libellé localisation,France entière
codeDepartement,78
Libellé département,Yvelines
codeCommune,78146
Libellé commune,Chatou
codeBV,0003
Inscrits,1362
Votants,929
% Votants,"68,21%"
Abstentions,433
% Abstentions,"31,79%"
Exprimés,924
% Exprimés/inscrits,"67,84%"
% Exprimés/votants,"99,46%"
Blancs,4
% Blancs/inscrits,"0,29%"
% Blancs/votants,"0,43%"
Nuls,1
% Nuls/inscrits,"0,07%"
% Nuls/votants,"0,11%"
Numéro de panneau 1,1
Nuance liste 1,LDIV
Libellé abrégé de liste 1,HUMANITE SOUVERAINE
Libellé de liste 1,POUR UNE HUMANITE SOUVERAINE
Voix 1,0
% Voix/inscrits 1,"0,00%"
% Voix/exprimés 1,"0,00%"
Sièges 1,0
Numéro de panneau 2,2
Nuance liste 2,LDIV
Libellé abrégé de liste 2,POUR UNE DEMOCRATIE REELLE : DECIDONS NOUS-MEMES !
Libellé de liste 2,POUR UNE DEMOCRATIE REELLE : DECIDONS NOUS-MEMES !
Voix 2,0
% Voix/inscrits 2,"0,00%"
% Voix/exprimés 2,"0,00%"
Sièges 2,0
Numéro de panneau 3,3
Nuance liste 3,LREC
Libellé abrégé de liste 3,"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR"
Libellé de liste 3,"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR"
Voix 3,63
% Voix/inscrits 3,"4,63%"
% Voix/exprimés 3,"6,82%"
Sièges 3,5
Numéro de panneau 4,4
Nuance liste 4,LFI
Libellé abrégé de liste 4,LFI - UP
Libellé de liste 4,LA FRANCE INSOUMISE - UNION POPULAIRE
Voix 4,49
% Voix/inscrits 4,"3,60%"
% Voix/exprimés 4,"5,30%"
Sièges 4,9
Numéro de panneau 5,5
Nuance liste 5,LRN
Libellé abrégé de liste 5,La FRANCE REVIENT
Libellé de liste 5,LA FRANCE REVIENT ! AVEC JORDAN BARDELLA ET MARINE LE PEN
Voix 5,59
% Voix/inscrits 5,"4,33%"
% Voix/exprimés 5,"6,39%"
Sièges 5,30
Numéro de panneau 6,6
Nuance liste 6,LVEC
Libellé abrégé de liste 6,EUROPE ÉCOLOGIE
Libellé de liste 6,EUROPE ÉCOLOGIE
Voix 6,74
% Voix/inscrits 6,"5,43%"
% Voix/exprimés 6,"8,01%"
Sièges 6,5
Numéro de panneau 7,7
Nuance liste 7,LDIV
Libellé abrégé de liste 7,FREE PALESTINE
Libellé de liste 7,FREE PALESTINE
Voix 7,1
% Voix/inscrits 7,"0,07%"
% Voix/exprimés 7,"0,11%"
Sièges 7,0
Numéro de panneau 8,8
Nuance liste 8,LDIV
Libellé abrégé de liste 8,PARTI ANIMALISTE
Libellé de liste 8,"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI"
Voix 8,12
% Voix/inscrits 8,"0,88%"
% Voix/exprimés 8,"1,30%"
Sièges 8,0
Numéro de panneau 9,9
Nuance liste 9,LEXG
Libellé abrégé de liste 9,PARTI REVOLUTIONNAIRE COMMUNISTES
Libellé de liste 9,PARTI REVOLUTIONNAIRE COMMUNISTES
Voix 9,0
% Voix/inscrits 9,"0,00%"
% Voix/exprimés 9,"0,00%"
Sièges 9,0
Numéro de panneau 10,10
Nuance liste 10,LDIV
Libellé abrégé de liste 10,PARTI PIRATE
Libellé de liste 10,PARTI PIRATE
Voix 10,2
% Voix/inscrits 10,"0,15%"
% Voix/exprimés 10,"0,22%"
Sièges 10,0
Numéro de panneau 11,11
Nuance liste 11,LENS
Libellé abrégé de liste 11,BESOIN D'EUROPE
Libellé de liste 11,BESOIN D'EUROPE
Voix 11,270
% Voix/inscrits 11,"19,82%"
% Voix/exprimés 11,"29,22%"
Sièges 11,13
Numéro de panneau 12,12
Nuance liste 12,LDIV
Libellé abrégé de liste 12,PACE
Libellé de liste 12,"PACE - PARTI DES CITOYENS EUROPÉENS, POUR L'ARMÉE EUROPÉENNE, POUR L'EUROPE SOCIALE , POUR LA PLANÈTE !"
Voix 12,0
% Voix/inscrits 12,"0,00%"
% Voix/exprimés 12,"0,00%"
Sièges 12,0
Numéro de panneau 13,13
Nuance liste 13,LECO
Libellé abrégé de liste 13,ÉQUINOXE
Libellé de liste 13,ÉQUINOXE : ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE
Voix 13,6
% Voix/inscrits 13,"0,44%"
% Voix/exprimés 13,"0,65%"
Sièges 13,0
Numéro de panneau 14,14
Nuance liste 14,LECO
Libellé abrégé de liste 14,ECOLOGIE POSITIVE
Libellé de liste 14,ECOLOGIE POSITIVE ET TERRITOIRES
Voix 14,3
% Voix/inscrits 14,"0,22%"
% Voix/exprimés 14,"0,32%"
Sièges 14,0
Numéro de panneau 15,15
Nuance liste 15,LDIV
Libellé abrégé de liste 15,LISTE ASSELINEAU-FREXIT
Libellé de liste 15,"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D'ACHAT ET POUR LA PAIX"
Voix 15,6
% Voix/inscrits 15,"0,44%"
% Voix/exprimés 15,"0,65%"
Sièges 15,0
Numéro de panneau 16,16
Nuance liste 16,LEXG
Libellé abrégé de liste 16,PAIX ET DECROISSANCE
Libellé de liste 16,PAIX ET DECROISSANCE
Voix 16,0
% Voix/inscrits 16,"0,00%"
% Voix/exprimés 16,"0,00%"
Sièges 16,0
Numéro de panneau 17,17
Nuance liste 17,LDIV
Libellé abrégé de liste 17,POUR UNE AUTRE EUROPE
Libellé de liste 17,POUR UNE AUTRE EUROPE
Voix 17,0
% Voix/inscrits 17,"0,00%"
