,426
id_circo,78002
Nom de la circonscription,Yvelines  - 2e circonscription
Inscrit_22,85933
pop_légal_19,123018
pop_légal_13,119701
tvar_pop,0.5
pop_pole_aav,68
pop_cour_aav,32
pop_horsaav,0
pop_urb,96
pop_rur_periu,4
pop_rur_non_periu,0
age_moyen,39.0
dec90,71
dec75,56
dec50,39
dec25,19
dec10,8
actemp,47.5
actcho,3.7
inactret,17.5
inactetu,9.9
inactm14,17.8
inactaut,3.6
actemp_hom,50.6
actcho_hom,3.5
inactret_hom,15.5
inactetu_hom,10.4
inactm14_hom,18.5
inactaut_hom,1.6
actemp_fem,44.6
actcho_fem,3.8
inactret_fem,19.4
inactetu_fem,9.4
inactm14_fem,17.2
inactaut_fem,5.6
actdip_PEU,8.1
actdip_CAP,11.2
actdip_BAC,15.3
actdip_BAC2,15.1
actdip_BAC3,14.8
actdip_BAC5,35.5
actdip_BAC3P,50.3
act_agr,0.1
act_art,4.4
act_cad,41.0
act_int,25.5
act_emp,21.5
act_ouv,6.7
act_cho,0.8
log_res,90.2
log_sec,3.6
log_vac,6.2
proprio,55.6
locatai,39.1
gratuit,5.3
maison,40.4
ach90,76.3
mfuel,3.4
men_seul,33.3
men_coupae,31.5
men_coupse,25.5
men_monop,8.3
men_sfam,1.5
men_seul_com,33.3
men_coupse_com,25.4
men_coupae_com,31.3
men_monop_com,8.2
men_complexe_com,1.8
seul_hom1829,21.7
seul_hom3059,14.9
seul_hom6074,15.6
seul_hom7584,17.1
seul_hom85,21.3
seul_fem1829,16.8
seul_fem3059,10.7
seul_fem6074,27.5
seul_fem7584,42.7
seul_fem85,46.2
iranr_log,87.9
iranr_com,3.2
iranr_dep,2.8
iranr_fra,5.3
iranr_etr,0.7
mobresid,7.6
ilt_com,23.7
ilt_dep,30.8
ilt_fra,45.2
ilt_etr,0.3
mobtrav,62.4
modtrans_aucun,3.3
modtrans_pied,6.8
modtrans_velo,2.8
modtrans_moto,2.8
modtrans_voit,54
modtrans_commun,30.4
tx_pauvrete60_diff,5.2
nivvie_median_diff,31510
part_pauvres_diff,5.2
part_modestes_diff,11.1
part_medians_diff,18.3
part_plutot_aises_diff,35
part_aises_diff,30.5
D1_diff,16650
D9_diff,56930
rpt_D9_D1_diff,3.4
tx_pauvrete60_diff_trageRF1,13.8
tx_pauvrete60_diff_trageRF2,6.8
tx_pauvrete60_diff_trageRF3,5.1
tx_pauvrete60_diff_trageRF4,5
tx_pauvrete60_diff_trageRF5,5
tx_pauvrete60_diff_trageRF6,5
PACT,88.9
PPEN,22.8
PPAT,10.7
PPSOC,2.2
PIMPOT,-24.5
acc_ecole,98.9
acc_college,78.4
acc_lycee,39.7
acc_medecin,95.5
acc_dentiste,92.7
acc_pharmacie,93.5
part_eloig,0
