id_dep,libDep,id_circo,id_com,libCom,codeBV,id_bv,libBv,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
2A,Corse-du-Sud,2A002,2A004,Ajaccio,0026,2A004_0026,Ajaccio - 0026,1444,789,"54,64%",655,"45,36%",768,"53,19%","97,34%",9,"0,62%","1,14%",12,"0,83%","1,52%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A004,Ajaccio,0027,2A004_0027,Ajaccio - 0027,1059,630,"59,49%",429,"40,51%",615,"58,07%","97,62%",6,"0,57%","0,95%",9,"0,85%","1,43%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A004,Ajaccio,0028,2A004_0028,Ajaccio - 0028,505,309,"61,19%",196,"38,81%",305,"60,40%","98,71%",2,"0,40%","0,65%",2,"0,40%","0,65%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A004,Ajaccio,0029,2A004_0029,Ajaccio - 0029,1133,680,"60,02%",453,"39,98%",658,"58,08%","96,76%",4,"0,35%","0,59%",18,"1,59%","2,65%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A004,Ajaccio,0030,2A004_0030,Ajaccio - 0030,1254,696,"55,50%",558,"44,50%",680,"54,23%","97,70%",8,"0,64%","1,15%",8,"0,64%","1,15%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A004,Ajaccio,0031,2A004_0031,Ajaccio - 0031,1178,588,"49,92%",590,"50,08%",582,"49,41%","98,98%",4,"0,34%","0,68%",2,"0,17%","0,34%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A004,Ajaccio,0032,2A004_0032,Ajaccio - 0032,629,361,"57,39%",268,"42,61%",350,"55,64%","96,95%",8,"1,27%","2,22%",3,"0,48%","0,83%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A004,Ajaccio,0033,2A004_0033,Ajaccio - 0033,763,501,"65,66%",262,"34,34%",489,"64,09%","97,60%",5,"0,66%","1,00%",7,"0,92%","1,40%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A004,Ajaccio,0034,2A004_0034,Ajaccio - 0034,805,510,"63,35%",295,"36,65%",487,"60,50%","95,49%",13,"1,61%","2,55%",10,"1,24%","1,96%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A004,Ajaccio,0035,2A004_0035,Ajaccio - 0035,1011,580,"57,37%",431,"42,63%",568,"56,18%","97,93%",7,"0,69%","1,21%",5,"0,49%","0,86%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A004,Ajaccio,0036,2A004_0036,Ajaccio - 0036,434,248,"57,14%",186,"42,86%",239,"55,07%","96,37%",9,"2,07%","3,63%",0,"0,00%","0,00%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A004,Ajaccio,0037,2A004_0037,Ajaccio - 0037,871,432,"49,60%",439,"50,40%",417,"47,88%","96,53%",11,"1,26%","2,55%",4,"0,46%","0,93%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A004,Ajaccio,0038,2A004_0038,Ajaccio - 0038,1299,747,"57,51%",552,"42,49%",720,"55,43%","96,39%",16,"1,23%","2,14%",11,"0,85%","1,47%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A008,Albitreccia,0001,2A008_0001,Albitreccia - 0001,124,85,"68,55%",39,"31,45%",82,"66,13%","96,47%",1,"0,81%","1,18%",2,"1,61%","2,35%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A008,Albitreccia,0002,2A008_0002,Albitreccia - 0002,139,80,"57,55%",59,"42,45%",77,"55,40%","96,25%",3,"2,16%","3,75%",0,"0,00%","0,00%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A008,Albitreccia,0003,2A008_0003,Albitreccia - 0003,84,56,"66,67%",28,"33,33%",56,"66,67%","100,00%",0,"0,00%","0,00%",0,"0,00%","0,00%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A008,Albitreccia,0004,2A008_0004,Albitreccia - 0004,1067,702,"65,79%",365,"34,21%",690,"64,67%","98,29%",10,"0,94%","1,42%",2,"0,19%","0,28%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A011,Altagène,0001,2A011_0001,Altagène - 0001,82,62,"75,61%",20,"24,39%",60,"73,17%","96,77%",2,"2,44%","3,23%",0,"0,00%","0,00%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A018,Arbellara,0001,2A018_0001,Arbellara - 0001,156,80,"51,28%",76,"48,72%",77,"49,36%","96,25%",1,"0,64%","1,25%",2,"1,28%","2,50%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A021,Argiusta-Moriccio,0001,2A021_0001,Argiusta-Moriccio - 0001,101,64,"63,37%",37,"36,63%",64,"63,37%","100,00%",0,"0,00%","0,00%",0,"0,00%","0,00%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A024,Aullène,0001,2A024_0001,Aullène - 0001,204,158,"77,45%",46,"22,55%",158,"77,45%","100,00%",0,"0,00%","0,00%",0,"0,00%","0,00%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A026,Azilone-Ampaza,0001,2A026_0001,Azilone-Ampaza - 0001,141,85,"60,28%",56,"39,72%",83,"58,87%","97,65%",1,"0,71%","1,18%",1,"0,71%","1,18%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A026,Azilone-Ampaza,0002,2A026_0002,Azilone-Ampaza - 0002,95,64,"67,37%",31,"32,63%",63,"66,32%","98,44%",0,"0,00%","0,00%",1,"1,05%","1,56%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A002,2A031,Bastelica,0001,2A031_0001,Bastelica - 0001,538,327,"60,78%",211,"39,22%",322,"59,85%","98,47%",2,"0,37%","0,61%",3,"0,56%","0,92%",Numéro de panneau 1,1
