id_dep,libDep,id_circo,id_com,libCom,codeBV,id_bv,libBv,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
2B,Haute-Corse,2B001,2B029,Barbaggio,0001,2B029_0001,Barbaggio - 0001,235,160,"68,09%",75,"31,91%",159,"67,66%","99,38%",1,"0,43%","0,63%",0,"0,00%","0,00%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B030,Barrettali,0001,2B030_0001,Barrettali - 0001,192,136,"70,83%",56,"29,17%",136,"70,83%","100,00%",0,"0,00%","0,00%",0,"0,00%","0,00%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0001,2B033_0001,Bastia - 0001,532,356,"66,92%",176,"33,08%",351,"65,98%","98,60%",3,"0,56%","0,84%",2,"0,38%","0,56%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0002,2B033_0002,Bastia - 0002,482,306,"63,49%",176,"36,51%",296,"61,41%","96,73%",3,"0,62%","0,98%",7,"1,45%","2,29%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0003,2B033_0003,Bastia - 0003,708,467,"65,96%",241,"34,04%",460,"64,97%","98,50%",3,"0,42%","0,64%",4,"0,56%","0,86%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0004,2B033_0004,Bastia - 0004,717,470,"65,55%",247,"34,45%",452,"63,04%","96,17%",7,"0,98%","1,49%",11,"1,53%","2,34%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0005,2B033_0005,Bastia - 0005,658,424,"64,44%",234,"35,56%",414,"62,92%","97,64%",8,"1,22%","1,89%",2,"0,30%","0,47%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0006,2B033_0006,Bastia - 0006,776,440,"56,70%",336,"43,30%",434,"55,93%","98,64%",5,"0,64%","1,14%",1,"0,13%","0,23%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0007,2B033_0007,Bastia - 0007,828,575,"69,44%",253,"30,56%",556,"67,15%","96,70%",10,"1,21%","1,74%",9,"1,09%","1,57%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0008,2B033_0008,Bastia - 0008,839,506,"60,31%",333,"39,69%",486,"57,93%","96,05%",9,"1,07%","1,78%",11,"1,31%","2,17%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0009,2B033_0009,Bastia - 0009,900,546,"60,67%",354,"39,33%",532,"59,11%","97,44%",13,"1,44%","2,38%",1,"0,11%","0,18%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0010,2B033_0010,Bastia - 0010,867,526,"60,67%",341,"39,33%",515,"59,40%","97,91%",3,"0,35%","0,57%",8,"0,92%","1,52%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0011,2B033_0011,Bastia - 0011,719,459,"63,84%",260,"36,16%",450,"62,59%","98,04%",4,"0,56%","0,87%",5,"0,70%","1,09%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0012,2B033_0012,Bastia - 0012,663,465,"70,14%",198,"29,86%",453,"68,33%","97,42%",9,"1,36%","1,94%",3,"0,45%","0,65%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0013,2B033_0013,Bastia - 0013,787,504,"64,04%",283,"35,96%",486,"61,75%","96,43%",15,"1,91%","2,98%",3,"0,38%","0,60%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0014,2B033_0014,Bastia - 0014,516,306,"59,30%",210,"40,70%",301,"58,33%","98,37%",3,"0,58%","0,98%",2,"0,39%","0,65%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0015,2B033_0015,Bastia - 0015,856,513,"59,93%",343,"40,07%",502,"58,64%","97,86%",7,"0,82%","1,36%",4,"0,47%","0,78%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0016,2B033_0016,Bastia - 0016,998,583,"58,42%",415,"41,58%",570,"57,11%","97,77%",5,"0,50%","0,86%",8,"0,80%","1,37%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0017,2B033_0017,Bastia - 0017,822,446,"54,26%",376,"45,74%",434,"52,80%","97,31%",5,"0,61%","1,12%",7,"0,85%","1,57%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0018,2B033_0018,Bastia - 0018,875,445,"50,86%",430,"49,14%",436,"49,83%","97,98%",4,"0,46%","0,90%",5,"0,57%","1,12%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0019,2B033_0019,Bastia - 0019,935,437,"46,74%",498,"53,26%",425,"45,45%","97,25%",2,"0,21%","0,46%",10,"1,07%","2,29%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0020,2B033_0020,Bastia - 0020,880,466,"52,95%",414,"47,05%",460,"52,27%","98,71%",6,"0,68%","1,29%",0,"0,00%","0,00%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0021,2B033_0021,Bastia - 0021,722,367,"50,83%",355,"49,17%",356,"49,31%","97,00%",3,"0,42%","0,82%",8,"1,11%","2,18%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0022,2B033_0022,Bastia - 0022,822,563,"68,49%",259,"31,51%",552,"67,15%","98,05%",6,"0,73%","1,07%",5,"0,61%","0,89%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0023,2B033_0023,Bastia - 0023,882,468,"53,06%",414,"46,94%",454,"51,47%","97,01%",7,"0,79%","1,50%",7,"0,79%","1,50%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0024,2B033_0024,Bastia - 0024,917,505,"55,07%",412,"44,93%",493,"53,76%","97,62%",6,"0,65%","1,19%",6,"0,65%","1,19%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0025,2B033_0025,Bastia - 0025,843,473,"56,11%",370,"43,89%",460,"54,57%","97,25%",10,"1,19%","2,11%",3,"0,36%","0,63%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B033,Bastia,0026,2B033_0026,Bastia - 0026,842,466,"55,34%",376,"44,66%",449,"53,33%","96,35%",12,"1,43%","2,58%",5,"0,59%","1,07%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,2B037,Biguglia,0001,2B037_0001,Biguglia - 0001,1114,720,"64,63%",394,"35,37%",711,"63,82%","98,75%",6,"0,54%","0,83%",3,"0,27%","0,42%",Numéro de panneau 1,1
