Code localisation,Libellé localisation,id_dep,Libellé département,id_circo,codeCommune,Libellé commune,codeBV,codeBureauVote,bv_lib,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0001,78297_0001,Guyancourt - 0001,1223,701,"57,32%",522,"42,68%",694,"56,75%","99,00%",4,"0,33%","0,57%",3,"0,25%","0,43%",Numéro de panneau 1,1
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0002,78297_0002,Guyancourt - 0002,1071,525,"49,02%",546,"50,98%",513,"47,90%","97,71%",4,"0,37%","0,76%",8,"0,75%","1,52%",Numéro de panneau 1,1
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0003,78297_0003,Guyancourt - 0003,1107,607,"54,83%",500,"45,17%",597,"53,93%","98,35%",8,"0,72%","1,32%",2,"0,18%","0,33%",Numéro de panneau 1,1
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0004,78297_0004,Guyancourt - 0004,1259,616,"48,93%",643,"51,07%",606,"48,13%","98,38%",6,"0,48%","0,97%",4,"0,32%","0,65%",Numéro de panneau 1,1
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0005,78297_0005,Guyancourt - 0005,1091,578,"52,98%",513,"47,02%",566,"51,88%","97,92%",5,"0,46%","0,87%",7,"0,64%","1,21%",Numéro de panneau 1,1
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0006,78297_0006,Guyancourt - 0006,1216,631,"51,89%",585,"48,11%",617,"50,74%","97,78%",8,"0,66%","1,27%",6,"0,49%","0,95%",Numéro de panneau 1,1
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0007,78297_0007,Guyancourt - 0007,1240,645,"52,02%",595,"47,98%",626,"50,48%","97,05%",11,"0,89%","1,71%",8,"0,65%","1,24%",Numéro de panneau 1,1
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0008,78297_0008,Guyancourt - 0008,1102,518,"47,01%",584,"52,99%",502,"45,55%","96,91%",8,"0,73%","1,54%",8,"0,73%","1,54%",Numéro de panneau 1,1
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0009,78297_0009,Guyancourt - 0009,1121,664,"59,23%",457,"40,77%",651,"58,07%","98,04%",8,"0,71%","1,20%",5,"0,45%","0,75%",Numéro de panneau 1,1
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0010,78297_0010,Guyancourt - 0010,1314,709,"53,96%",605,"46,04%",690,"52,51%","97,32%",14,"1,07%","1,97%",5,"0,38%","0,71%",Numéro de panneau 1,1
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0011,78297_0011,Guyancourt - 0011,1318,644,"48,86%",674,"51,14%",631,"47,88%","97,98%",7,"0,53%","1,09%",6,"0,46%","0,93%",Numéro de panneau 1,1
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0012,78297_0012,Guyancourt - 0012,1398,737,"52,72%",661,"47,28%",726,"51,93%","98,51%",5,"0,36%","0,68%",6,"0,43%","0,81%",Numéro de panneau 1,1
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0013,78297_0013,Guyancourt - 0013,1122,568,"50,62%",554,"49,38%",556,"49,55%","97,89%",7,"0,62%","1,23%",5,"0,45%","0,88%",Numéro de panneau 1,1
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0014,78297_0014,Guyancourt - 0014,1242,630,"50,72%",612,"49,28%",615,"49,52%","97,62%",10,"0,81%","1,59%",5,"0,40%","0,79%",Numéro de panneau 1,1
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0015,78297_0015,Guyancourt - 0015,1140,625,"54,82%",515,"45,18%",613,"53,77%","98,08%",7,"0,61%","1,12%",5,"0,44%","0,80%",Numéro de panneau 1,1
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0001,78423_0001,Montigny-le-Bretonneux - 0001,1385,820,"59,21%",565,"40,79%",809,"58,41%","98,66%",8,"0,58%","0,98%",3,"0,22%","0,37%",Numéro de panneau 1,1
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0002,78423_0002,Montigny-le-Bretonneux - 0002,1154,719,"62,31%",435,"37,69%",714,"61,87%","99,30%",2,"0,17%","0,28%",3,"0,26%","0,42%",Numéro de panneau 1,1
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0003,78423_0003,Montigny-le-Bretonneux - 0003,1150,735,"63,91%",415,"36,09%",727,"63,22%","98,91%",4,"0,35%","0,54%",4,"0,35%","0,54%",Numéro de panneau 1,1
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0004,78423_0004,Montigny-le-Bretonneux - 0004,1239,644,"51,98%",595,"48,02%",631,"50,93%","97,98%",5,"0,40%","0,78%",8,"0,65%","1,24%",Numéro de panneau 1,1
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0005,78423_0005,Montigny-le-Bretonneux - 0005,1269,600,"47,28%",669,"52,72%",582,"45,86%","97,00%",10,"0,79%","1,67%",8,"0,63%","1,33%",Numéro de panneau 1,1
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0006,78423_0006,Montigny-le-Bretonneux - 0006,1632,867,"53,13%",765,"46,88%",852,"52,21%","98,27%",11,"0,67%","1,27%",4,"0,25%","0,46%",Numéro de panneau 1,1
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0007,78423_0007,Montigny-le-Bretonneux - 0007,1357,705,"51,95%",652,"48,05%",693,"51,07%","98,30%",5,"0,37%","0,71%",7,"0,52%","0,99%",Numéro de panneau 1,1
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0008,78423_0008,Montigny-le-Bretonneux - 0008,1342,880,"65,57%",462,"34,43%",870,"64,83%","98,86%",7,"0,52%","0,80%",3,"0,22%","0,34%",Numéro de panneau 1,1
