id_dep,libDep,id_circo,libCirco,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Numéro de panneau 1,1
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Numéro de panneau 1,1
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Nuance candidat 1,DVC
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Nuance candidat 1,DIV
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Nom candidat 1,MORGANTI
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Nom candidat 1,BARONNE MARIE-LOUISE MARIANI
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Prénom candidat 1,Julien
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Prénom candidat 1,-
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Sexe candidat 1,MASCULIN
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Sexe candidat 1,FEMININ
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Voix 1,5436
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Voix 1,50
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",% Voix/inscrits 1,"8,75%"
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",% Voix/inscrits 1,"0,07%"
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",% Voix/exprimés 1,"14,42%"
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",% Voix/exprimés 1,"0,11%"
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Elu 1,
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Elu 1,
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Numéro de panneau 2,2
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Numéro de panneau 2,2
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Nuance candidat 2,REG
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Nuance candidat 2,REG
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Nom candidat 2,CASTELLANI
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Nom candidat 2,ACQUAVIVA
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Prénom candidat 2,Michel
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Prénom candidat 2,Jean-Félix
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Sexe candidat 2,MASCULIN
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Sexe candidat 2,MASCULIN
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Voix 2,11962
