id_dep,Libellé département,id_circo,Libellé circonscription législative,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
43,Haute-Loire,43001,1ère circonscription,102858,58857,"57,22%",44001,"42,78%",56620,"55,05%","96,20%",1131,"1,10%","1,92%",1106,"1,08%","1,88%",Numéro de panneau 1,1
43,Haute-Loire,43002,2ème circonscription,79649,45251,"56,81%",34398,"43,19%",43215,"54,26%","95,50%",925,"1,16%","2,04%",1111,"1,39%","2,46%",Numéro de panneau 1,1
43,Haute-Loire,43001,1ère circonscription,102858,58857,"57,22%",44001,"42,78%",56620,"55,05%","96,20%",1131,"1,10%","1,92%",1106,"1,08%","1,88%",Nuance liste 1,LDIV
43,Haute-Loire,43002,2ème circonscription,79649,45251,"56,81%",34398,"43,19%",43215,"54,26%","95,50%",925,"1,16%","2,04%",1111,"1,39%","2,46%",Nuance liste 1,LDIV
43,Haute-Loire,43001,1ère circonscription,102858,58857,"57,22%",44001,"42,78%",56620,"55,05%","96,20%",1131,"1,10%","1,92%",1106,"1,08%","1,88%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
43,Haute-Loire,43002,2ème circonscription,79649,45251,"56,81%",34398,"43,19%",43215,"54,26%","95,50%",925,"1,16%","2,04%",1111,"1,39%","2,46%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
43,Haute-Loire,43001,1ère circonscription,102858,58857,"57,22%",44001,"42,78%",56620,"55,05%","96,20%",1131,"1,10%","1,92%",1106,"1,08%","1,88%",Libellé de liste 1,POUR UNE HUMANITE SOUVERAINE
43,Haute-Loire,43002,2ème circonscription,79649,45251,"56,81%",34398,"43,19%",43215,"54,26%","95,50%",925,"1,16%","2,04%",1111,"1,39%","2,46%",Libellé de liste 1,POUR UNE HUMANITE SOUVERAINE
43,Haute-Loire,43001,1ère circonscription,102858,58857,"57,22%",44001,"42,78%",56620,"55,05%","96,20%",1131,"1,10%","1,92%",1106,"1,08%","1,88%",Voix 1,0
43,Haute-Loire,43002,2ème circonscription,79649,45251,"56,81%",34398,"43,19%",43215,"54,26%","95,50%",925,"1,16%","2,04%",1111,"1,39%","2,46%",Voix 1,1
43,Haute-Loire,43001,1ère circonscription,102858,58857,"57,22%",44001,"42,78%",56620,"55,05%","96,20%",1131,"1,10%","1,92%",1106,"1,08%","1,88%",% Voix/inscrits 1,"0,00%"
43,Haute-Loire,43002,2ème circonscription,79649,45251,"56,81%",34398,"43,19%",43215,"54,26%","95,50%",925,"1,16%","2,04%",1111,"1,39%","2,46%",% Voix/inscrits 1,"0,00%"
43,Haute-Loire,43001,1ère circonscription,102858,58857,"57,22%",44001,"42,78%",56620,"55,05%","96,20%",1131,"1,10%","1,92%",1106,"1,08%","1,88%",% Voix/exprimés 1,"0,00%"
43,Haute-Loire,43002,2ème circonscription,79649,45251,"56,81%",34398,"43,19%",43215,"54,26%","95,50%",925,"1,16%","2,04%",1111,"1,39%","2,46%",% Voix/exprimés 1,"0,00%"
43,Haute-Loire,43001,1ère circonscription,102858,58857,"57,22%",44001,"42,78%",56620,"55,05%","96,20%",1131,"1,10%","1,92%",1106,"1,08%","1,88%",Sièges 1,0
43,Haute-Loire,43002,2ème circonscription,79649,45251,"56,81%",34398,"43,19%",43215,"54,26%","95,50%",925,"1,16%","2,04%",1111,"1,39%","2,46%",Sièges 1,0
43,Haute-Loire,43001,1ère circonscription,102858,58857,"57,22%",44001,"42,78%",56620,"55,05%","96,20%",1131,"1,10%","1,92%",1106,"1,08%","1,88%",Numéro de panneau 2,2
43,Haute-Loire,43002,2ème circonscription,79649,45251,"56,81%",34398,"43,19%",43215,"54,26%","95,50%",925,"1,16%","2,04%",1111,"1,39%","2,46%",Numéro de panneau 2,2
43,Haute-Loire,43001,1ère circonscription,102858,58857,"57,22%",44001,"42,78%",56620,"55,05%","96,20%",1131,"1,10%","1,92%",1106,"1,08%","1,88%",Nuance liste 2,LDIV
43,Haute-Loire,43002,2ème circonscription,79649,45251,"56,81%",34398,"43,19%",43215,"54,26%","95,50%",925,"1,16%","2,04%",1111,"1,39%","2,46%",Nuance liste 2,LDIV
43,Haute-Loire,43001,1ère circonscription,102858,58857,"57,22%",44001,"42,78%",56620,"55,05%","96,20%",1131,"1,10%","1,92%",1106,"1,08%","1,88%",Libellé abrégé de liste 2,POUR UNE DEMOCRATIE REELLE : DECIDONS NOUS-MEMES !
