id_circo,Nom de la circonscription,Inscrit_22,pop_légal_19,pop_légal_13,tvar_pop,pop_pole_aav,pop_cour_aav,pop_horsaav,pop_urb,pop_rur_periu,pop_rur_non_periu,age_moyen,dec90,dec75,dec50,dec25,dec10,actemp,actcho,inactret,inactetu,inactm14,inactaut,actemp_hom,actcho_hom,inactret_hom,inactetu_hom,inactm14_hom,inactaut_hom,actemp_fem,actcho_fem,inactret_fem,inactetu_fem,inactm14_fem,inactaut_fem,actdip_PEU,actdip_CAP,actdip_BAC,actdip_BAC2,actdip_BAC3,actdip_BAC5,actdip_BAC3P,act_agr,act_art,act_cad,act_int,act_emp,act_ouv,act_cho,log_res,log_sec,log_vac,proprio,locatai,gratuit,maison,ach90,mfuel,men_seul,men_coupae,men_coupse,men_monop,men_sfam,men_seul_com,men_coupse_com,men_coupae_com,men_monop_com,men_complexe_com,seul_hom1829,seul_hom3059,seul_hom6074,seul_hom7584,seul_hom85,seul_fem1829,seul_fem3059,seul_fem6074,seul_fem7584,seul_fem85,iranr_log,iranr_com,iranr_dep,iranr_fra,iranr_etr,mobresid,ilt_com,ilt_dep,ilt_fra,ilt_etr,mobtrav,modtrans_aucun,modtrans_pied,modtrans_velo,modtrans_moto,modtrans_voit,modtrans_commun,tx_pauvrete60_diff,nivvie_median_diff,part_pauvres_diff,part_modestes_diff,part_medians_diff,part_plutot_aises_diff,part_aises_diff,D1_diff,D9_diff,rpt_D9_D1_diff,tx_pauvrete60_diff_trageRF1,tx_pauvrete60_diff_trageRF2,tx_pauvrete60_diff_trageRF3,tx_pauvrete60_diff_trageRF4,tx_pauvrete60_diff_trageRF5,tx_pauvrete60_diff_trageRF6,PACT,PPEN,PPAT,PPSOC,PIMPOT,acc_ecole,acc_college,acc_lycee,acc_medecin,acc_dentiste,acc_pharmacie,part_eloig,id_dep
69001,Rhône  - 1re circonscription,71473,132659,124789,1.0,100,0,0,100,0,0,37.1,71,53,33,20,8,44.2,6.6,15.8,12.9,15.0,5.5,47.9,6.5,13.3,12.1,16.1,4.0,40.9,6.6,18.2,13.5,14.0,6.8,10.5,13.0,17.4,14.0,16.9,28.2,45.1,0.0,4.1,27.2,28.3,26.0,12.7,1.6,89.1,4.0,6.9,34.2,63.3,2.5,3.6,66.1,0.2,48.8,18.5,19.6,8.8,4.3,48.8,19.5,18.4,8.7,4.6,31.2,27.5,27.2,25.5,24.9,31.7,19.4,43.4,53.7,51.2,84.1,6.7,2.8,5.2,1.1,9.1,60.1,34,5.5,0.3,39.9,3.6,9.7,6.4,1.6,40.5,38.3,16.5,22340,16.5,23.9,22.8,25.1,11.7,11070,41350,3.7,22.2,16.1,18.9,17.6,11.2,9,82.7,21.4,8.1,6.4,-18.7,100,100,100,100,100,100,0,69
69002,Rhône  - 2e circonscription,71973,119497,116512,0.4,100,0,0,100,0,0,37.8,71,54,34,21,9,45.7,6.6,15.4,11.9,14.9,5.4,48.7,7.0,13.1,11.1,16.2,3.8,43.0,6.3,17.5,12.6,13.7,6.9,8.4,9.1,14.7,12.0,19,36.9,55.9,0.0,5.8,35.4,27.9,20.6,9.1,1.2,85.3,5.3,9.4,36.1,62.0,1.9,2.1,83.3,0.2,48.9,17.9,20.2,8.4,4.8,48.9,20.1,17.8,8.3,4.9,30.7,26.8,26.5,25.6,29.5,35.6,21.9,41.9,56.0,57.3,83.3,7.9,2.3,5.5,1.1,8.8,65.8,27.3,6.5,0.4,34.2,3.9,15.8,8.6,2.2,30.5,38.9,14.6,24650,14.6,20,20.5,26.5,18.4,11430,49770,4.4,22.3,13.9,15.4,15.3,10.8,9.5,82.6,20.8,13.9,4.8,-22.2,100,100,100,100,100,100,0,69
69003,Rhône  - 3e circonscription,71683,132316,128432,0.5,100,0,0,100,0,0,36.2,70,51,31,21,9,46.3,6.8,14.4,14.3,13.2,5.0,49.8,7.0,12.0,12.7,14.6,4.0,43.3,6.6,16.5,15.7,12.1,5.8,7.5,9.4,15.1,12.6,18,37.4,55.4,0.0,3.9,33.5,28.5,22.7,9.5,1.8,87.3,4.8,7.9,29.6,68.4,2.0,1.7,68.4,0.1,54,14.6,18.5,6.8,6,54.0,18.5,14.6,6.8,6.1,38.0,29.1,28.3,26.5,32.0,40.8,25.9,45.5,58.9,55.5,81.7,8.5,2.4,6,1.4,9.8,62.2,30.8,6.7,0.2,37.8,2.8,14.9,11,1.3,29.1,41,16.5,23510,16.5,21,21.3,27,14.3,10840,43900,4,25.5,13.4,17.8,17.5,12.8,10.6,84.2,20.8,9,5.8,-19.7,100,100,100,100,100,100,0,69
69004,Rhône  - 4e circonscription,77537,138497,130982,0.9,100,0,0,100,0,0,37.6,71,54,34,20,9,45.8,6.1,15.9,13.1,14.4,4.6,49.2,6.3,13.7,12.2,15.6,3.0,42.9,6.0,17.8,13.9,13.4,6.0,7.7,9.0,14.6,12.8,17.9,38.1,56.0,0.0,4.9,36.6,27.3,21.3,8.6,1.4,87.8,5.1,7.1,35.2,62.5,2.2,3.8,69.5,0.3,49.8,18.2,20.3,7.5,4.2,49.8,20.2,18.1,7.5,4.4,31.9,26.4,26.1,25.0,31.5,36.1,22.3,43.9,53.7,64.3,84.3,6.6,2.4,5.6,1.1,9.1,61.6,30.7,7.4,0.3,38.4,3.2,17,9,1.3,33.6,35.8,12.6,26460,12.6,17.9,19.2,27.6,22.8,12080,54030,4.5,20.9,11.8,12.9,12.9,9.5,7.7,83.6,21.3,14.7,4,-23.6,100,100,100,100,100,100,0,69
69005,Rhône  - 5e circonscription,89593,121788,117098,0.7,55.2,44.8,0,97.1,2.9,0,41.7,75,61,42,20,8,43.0,4.3,22.7,8.2,17.4,4.4,45.4,4.3,20.5,8.4,18.7,2.6,40.8,4.2,24.8,7.9,16.2,6.0,10.1,15.3,16.8,15.5,15.6,26.5,42.1,0.2,8.3,28.5,28.4,21.2,12.7,0.7,91.0,2.0,7.0,62.3,36.2,1.5,43.6,71.4,5.6,33.2,28.5,27,9.7,1.5,33.2,26.8,28.4,9.6,1.9,13.7,15.1,16.5,14.3,23.8,11.3,12.1,29.8,42.1,48.1,88.7,2.6,5.9,2.4,0.4,7,18.7,73,8,0.4,69.3,3.6,4.7,2.4,2,68.8,18.5,7.9,27650,7.9,16.5,21.5,29.8,24.3,14180,56230,4,15.7,10.6,9,7.4,5,5,78.2,25,17.6,2.9,-23.7,100,62.3,44.7,94.9,90,91.2,1.1,69
69006,Rhône  - 6e circonscription,88484,152212,147192,0.6,100,0,0,100,0,0,36.0,70,52,32,20,8,42.3,7.4,14.9,13.2,16.3,5.9,44.5,7.4,12.6,14.4,16.9,4.1,40.2,7.4,16.9,12.1,15.8,7.5,12.5,15.1,17.9,14.3,15.9,24.3,40.2,0.0,4.1,23.2,27.3,28.1,15.2,2.1,88.3,3.3,8.4,35.5,63.0,1.5,5.2,61.9,0.5,48.1,19.4,18.3,9.1,5.2,48.1,18.2,19.3,9.0,5.4,32.7,26.7,27.1,25.3,27.0,30.1,20.7,42.2,53.9,62.5,83.9,5.8,4.4,4.7,1.2,10.3,29.9,63.6,6.3,0.2,70.1,2.7,10.4,7.1,1.1,38.3,40.4,19.8,20610,19.8,26.6,23.8,22.5,7.3,10400,36450,3.5,25.3,19.3,23.7,20.8,14.6,10.9,79.5,21.8,6.8,8.2,-16.4,100,100,100,100,100,100,0,69
69007,Rhône  - 7e circonscription,70364,134602,120519,1.9,98.2,1.8,0,100,0,0,36.1,70,54,34,15,6,36.3,7.4,15.9,9.0,22.2,9.2,40.0,7.9,14.4,8.6,23.6,5.5,32.8,7.0,17.4,9.3,20.9,12.6,20.8,21.3,21.4,13.4,10.7,12.4,23.1,0.1,5.4,13.3,23.6,30.9,24.0,2.7,92.8,0.8,6.4,41.7,55.6,2.6,21.5,70.3,2.4,34.6,31.6,19.1,12.8,1.9,34.6,18.8,31.3,12.6,2.7,14.0,16.7,20.4,20.2,27.9,12.8,11.3,33.5,48.2,58.6,90.5,3.2,3.9,1.9,0.5,5.9,27.2,65.4,7.1,0.3,68,2.9,6.1,2.4,0.9,62.1,25.6,24.8,18750,24.8,29.4,22.5,17,6.3,9850,34500,3.5,27.9,28.2,30.8,24.3,16.6,14.2,73.6,24,7.1,10.7,-15.3,100,93.5,93.5,100,100,98.2,0,69
69008,Rhône  - 8e circonscription,104503,143427,138951,0.5,35.2,59.5,5.3,54.9,25.5,19.6,41.2,74,60,42,19,8,41.9,4.5,23.1,8.0,18.0,4.5,44.3,4.4,21.6,8.1,18.8,2.8,39.6,4.7,24.5,7.9,17.3,6.1,14.6,22.8,19.9,15.7,11.8,15.1,26.9,1.6,7.7,19.7,25.2,25.4,19.6,0.8,85.8,4.7,9.4,64.6,33.1,2.3,63,70.3,12,31.7,29.8,28.5,8.6,1.5,31.7,28.3,29.7,8.5,1.8,12.4,15.0,17.4,17.5,27.9,11.8,9.3,26.3,44.5,51.3,89.5,2.9,5.2,2.1,0.4,5.4,24.2,69.5,6.1,0.2,49.7,4.6,5,0.7,1.3,78.8,9.5,9,24330,9,21.7,26.8,27.9,14.5,13550,44710,3.3,16.9,10.9,10,8.8,6,5.8,74.5,27.8,12.4,4.1,-18.7,99.4,49.5,40.3,83,71.4,73.9,12.5,69
69009,Rhône  - 9e circonscription,96017,139936,134536,0.7,12.5,65.5,22,63.6,9.1,27.3,39.8,73,59,40,18,7,42.3,5.0,21.2,6.5,19.5,5.5,44.9,4.8,19.3,6.6,20.5,3.9,39.9,5.2,23.0,6.5,18.5,7.0,15.7,25.3,21.6,15.7,11.3,10.3,21.6,2.4,7.4,14.4,25.8,26.1,22.8,1.1,87.8,3.7,8.5,59.1,39.2,1.7,57.3,66.6,11.2,33.1,30,26.5,9,1.4,33.1,26.4,29.8,9.0,1.7,13.6,16.1,18.7,17.2,26.0,11.8,11.8,29.0,45.3,52.4,88.4,3.5,5.5,2.3,0.3,4.8,27.1,60.1,12.6,0.2,42.9,4.4,5.5,0.9,1,79.1,9.1,12.4,22560,12.4,25,27.8,25.6,9.3,12290,38730,3.2,19.3,14.8,14.4,11.4,8.3,8.2,74.7,26.4,10,5.6,-16.7,99.7,54.8,43.2,81.3,74.6,77.5,6.5,69
69010,Rhône  - 10e circonscription,98838,131960,124835,0.9,28.5,67.6,3.9,70.8,25.2,3.9,41.0,74,60,42,19,8,43.9,3.8,22.3,7.9,17.9,4.1,46.3,3.8,20.5,8.0,18.7,2.6,41.6,3.8,24.1,7.8,17.1,5.5,12.6,20.9,20.1,17.3,12.9,16.3,29.2,1.8,7.4,21.7,29.0,23.0,16.4,0.6,91.1,2.7,6.3,66.9,31.5,1.6,64.6,62,12,29.4,31.8,29.1,8.4,1.4,29.4,29.0,31.6,8.3,1.6,10.5,13.3,14.5,17.4,23.7,9.4,9.3,26.1,39.9,52.0,89.5,2.6,5.9,1.8,0.3,5.8,20.7,72.9,6.2,0.2,57.7,4.4,4.2,1.1,1.7,79.8,8.8,7.5,25560,7.5,19.4,25.9,31.1,16.1,14360,45850,3.2,14.6,9.1,8,7.3,5,5.4,77.4,26.3,12.2,3.6,-19.5,100,61.5,35.7,84.9,81.4,84.6,7.4,69
