id_dep,libDepartement,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
25,Doubs,370148,257393,"69,54%",112755,"30,46%",250140,"67,58%","97,18%",4735,"1,28%","1,84%",2518,"0,68%","0,98%",Nuance candidat 1,EXG
25,Doubs,370148,257393,"69,54%",112755,"30,46%",250140,"67,58%","97,18%",4735,"1,28%","1,84%",2518,"0,68%","0,98%",Voix 1,3682
25,Doubs,370148,257393,"69,54%",112755,"30,46%",250140,"67,58%","97,18%",4735,"1,28%","1,84%",2518,"0,68%","0,98%",% Voix/inscrits 1,"0,99%"
25,Doubs,370148,257393,"69,54%",112755,"30,46%",250140,"67,58%","97,18%",4735,"1,28%","1,84%",2518,"0,68%","0,98%",% Voix/exprimés 1,"1,47%"
25,Doubs,370148,257393,"69,54%",112755,"30,46%",250140,"67,58%","97,18%",4735,"1,28%","1,84%",2518,"0,68%","0,98%",Nuance candidat 2,UG
25,Doubs,370148,257393,"69,54%",112755,"30,46%",250140,"67,58%","97,18%",4735,"1,28%","1,84%",2518,"0,68%","0,98%",Voix 2,66338
25,Doubs,370148,257393,"69,54%",112755,"30,46%",250140,"67,58%","97,18%",4735,"1,28%","1,84%",2518,"0,68%","0,98%",% Voix/inscrits 2,"17,92%"
25,Doubs,370148,257393,"69,54%",112755,"30,46%",250140,"67,58%","97,18%",4735,"1,28%","1,84%",2518,"0,68%","0,98%",% Voix/exprimés 2,"26,52%"
25,Doubs,370148,257393,"69,54%",112755,"30,46%",250140,"67,58%","97,18%",4735,"1,28%","1,84%",2518,"0,68%","0,98%",Nuance candidat 3,ECO
25,Doubs,370148,257393,"69,54%",112755,"30,46%",250140,"67,58%","97,18%",4735,"1,28%","1,84%",2518,"0,68%","0,98%",Voix 3,1829
25,Doubs,370148,257393,"69,54%",112755,"30,46%",250140,"67,58%","97,18%",4735,"1,28%","1,84%",2518,"0,68%","0,98%",% Voix/inscrits 3,"0,49%"
25,Doubs,370148,257393,"69,54%",112755,"30,46%",250140,"67,58%","97,18%",4735,"1,28%","1,84%",2518,"0,68%","0,98%",% Voix/exprimés 3,"0,73%"
25,Doubs,370148,257393,"69,54%",112755,"30,46%",250140,"67,58%","97,18%",4735,"1,28%","1,84%",2518,"0,68%","0,98%",Nuance candidat 4,REG
25,Doubs,370148,257393,"69,54%",112755,"30,46%",250140,"67,58%","97,18%",4735,"1,28%","1,84%",2518,"0,68%","0,98%",Voix 4,2.0
25,Doubs,370148,257393,"69,54%",112755,"30,46%",250140,"67,58%","97,18%",4735,"1,28%","1,84%",2518,"0,68%","0,98%",% Voix/inscrits 4,"0,00%"
25,Doubs,370148,257393,"69,54%",112755,"30,46%",250140,"67,58%","97,18%",4735,"1,28%","1,84%",2518,"0,68%","0,98%",% Voix/exprimés 4,"0,00%"
25,Doubs,370148,257393,"69,54%",112755,"30,46%",250140,"67,58%","97,18%",4735,"1,28%","1,84%",2518,"0,68%","0,98%",Nuance candidat 5,DIV
25,Doubs,370148,257393,"69,54%",112755,"30,46%",250140,"67,58%","97,18%",4735,"1,28%","1,84%",2518,"0,68%","0,98%",Voix 5,497.0
25,Doubs,370148,257393,"69,54%",112755,"30,46%",250140,"67,58%","97,18%",4735,"1,28%","1,84%",2518,"0,68%","0,98%",% Voix/inscrits 5,"0,13%"
25,Doubs,370148,257393,"69,54%",112755,"30,46%",250140,"67,58%","97,18%",4735,"1,28%","1,84%",2518,"0,68%","0,98%",% Voix/exprimés 5,"0,20%"
