id_dep,libDepartement,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Nuance candidat 1,EXG
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Voix 1,133
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/inscrits 1,"0,12%"
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/exprimés 1,"0,18%"
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Nuance candidat 2,COM
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Voix 2,3125
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/inscrits 2,"2,72%"
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/exprimés 2,"4,34%"
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Nuance candidat 3,SOC
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Voix 3,4780
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/inscrits 3,"4,16%"
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/exprimés 3,"6,63%"
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Nuance candidat 4,REG
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Voix 4,23283.0
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/inscrits 4,"20,25%"
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/exprimés 4,"32,31%"
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Nuance candidat 5,ENS
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Voix 5,10210.0
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/inscrits 5,"8,88%"
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/exprimés 5,"14,17%"
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Nuance candidat 6,DVD
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Voix 6,6538.0
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/inscrits 6,"5,69%"
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/exprimés 6,"9,07%"
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Nuance candidat 7,RN
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Voix 7,23997.0
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/inscrits 7,"20,87%"
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/exprimés 7,"33,30%"
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Nuance candidat 8,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Voix 8,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/inscrits 8,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/exprimés 8,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Nuance candidat 9,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Voix 9,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/inscrits 9,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/exprimés 9,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Nuance candidat 10,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Voix 10,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/inscrits 10,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/exprimés 10,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Nuance candidat 11,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Voix 11,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/inscrits 11,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/exprimés 11,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Nuance candidat 12,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Voix 12,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/inscrits 12,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/exprimés 12,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Nuance candidat 13,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Voix 13,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/inscrits 13,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/exprimés 13,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Nuance candidat 14,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Voix 14,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/inscrits 14,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/exprimés 14,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Nuance candidat 15,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",Voix 15,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/inscrits 15,
2A,Corse-du-Sud,114985,73460,"63,89%",41525,"36,11%",72066,"62,67%","98,10%",840,"0,73%","1,14%",554,"0,48%","0,75%",% Voix/exprimés 15,
