id_dep,libDepartement,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Nuance candidat 1,EXG
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Voix 1,483
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/inscrits 1,"0,37%"
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/exprimés 1,"0,59%"
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Nuance candidat 2,FI
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Voix 2,3352
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/inscrits 2,"2,58%"
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/exprimés 2,"4,09%"
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Nuance candidat 3,VEC
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Voix 3,2668
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/inscrits 3,"2,05%"
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/exprimés 3,"3,25%"
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Nuance candidat 4,REG
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Voix 4,30011.0
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/inscrits 4,"23,08%"
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/exprimés 4,"36,58%"
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Nuance candidat 5,DIV
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Voix 5,50.0
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/inscrits 5,"0,04%"
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/exprimés 5,"0,06%"
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Nuance candidat 6,DVC
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Voix 6,7481.0
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/inscrits 6,"5,75%"
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/exprimés 6,"9,12%"
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Nuance candidat 7,DVD
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Voix 7,15100.0
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/inscrits 7,"11,61%"
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/exprimés 7,"18,41%"
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Nuance candidat 8,DSV
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Voix 8,393.0
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/inscrits 8,"0,30%"
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/exprimés 8,"0,48%"
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Nuance candidat 9,RN
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Voix 9,22130.0
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/inscrits 9,"17,02%"
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/exprimés 9,"26,98%"
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Nuance candidat 10,REC
