id_dep,libDepartement,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",Nuance candidat 1,EXG
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",Voix 1,1463
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",% Voix/inscrits 1,"0,80%"
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",% Voix/exprimés 1,"1,13%"
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",Nuance candidat 2,UG
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",Voix 2,24592
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",% Voix/inscrits 2,"13,50%"
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",% Voix/exprimés 2,"19,04%"
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",Nuance candidat 3,ENS
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",Voix 3,11539
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",% Voix/inscrits 3,"6,34%"
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",% Voix/exprimés 3,"8,93%"
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",Nuance candidat 4,LR
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",Voix 4,48586.0
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",% Voix/inscrits 4,"26,68%"
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",% Voix/exprimés 4,"37,62%"
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",Nuance candidat 5,RN
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",Voix 5,42976.0
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",% Voix/inscrits 5,"23,60%"
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",% Voix/exprimés 5,"33,27%"
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",Nuance candidat 6,
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",Voix 6,
43,Haute-Loire,182106,131939,"72,45%",50167,"27,55%",129156,"70,92%","97,89%",1854,"1,02%","1,41%",929,"0,51%","0,70%",% Voix/inscrits 6,
