,436
id_circo,78012
Nom de la circonscription,Yvelines  - 12e circonscription
Inscrit_22,70828
pop_légal_19,108514
pop_légal_13,104759
tvar_pop,0.6
pop_pole_aav,64.6
pop_cour_aav,35.4
pop_horsaav,0
pop_urb,90
pop_rur_periu,10
pop_rur_non_periu,0
age_moyen,38.5
dec90,71
dec75,56
dec50,38
dec25,18
dec10,7
actemp,45.0
actcho,5.0
inactret,17.2
inactetu,8.1
inactm14,19.4
inactaut,5.2
actemp_hom,47.7
actcho_hom,4.9
inactret_hom,16.1
inactetu_hom,8.3
inactm14_hom,20.4
inactaut_hom,2.8
actemp_fem,42.6
actcho_fem,5.2
inactret_fem,18.3
inactetu_fem,8.0
inactm14_fem,18.6
inactaut_fem,7.3
actdip_PEU,12.8
actdip_CAP,16.4
actdip_BAC,18.1
actdip_BAC2,16.2
actdip_BAC3,14.4
actdip_BAC5,22.1
actdip_BAC3P,36.5
act_agr,0.1
act_art,5.1
act_cad,29.2
act_int,27.9
act_emp,25.1
act_ouv,11.3
act_cho,1.2
log_res,92.7
log_sec,1.8
log_vac,5.5
proprio,59.5
locatai,38.6
gratuit,1.9
maison,45.8
ach90,71.5
mfuel,4
men_seul,30.5
men_coupae,33.4
men_coupse,24
men_monop,10.7
men_sfam,1.5
men_seul_com,30.5
men_coupse_com,23.7
men_coupae_com,33.1
men_monop_com,10.6
men_complexe_com,2.2
seul_hom1829,11.1
seul_hom3059,15.5
seul_hom6074,13.9
seul_hom7584,13.1
seul_hom85,26.9
seul_fem1829,10.3
seul_fem3059,11.8
seul_fem6074,28.2
seul_fem7584,36.3
seul_fem85,50.5
iranr_log,90.1
iranr_com,3.1
iranr_dep,3.6
iranr_fra,2.8
iranr_etr,0.4
mobresid,6.2
ilt_com,20.5
ilt_dep,42.9
ilt_fra,36.4
ilt_etr,0.2
mobtrav,73.7
modtrans_aucun,2.9
modtrans_pied,5.2
modtrans_velo,0.7
modtrans_moto,1.8
modtrans_voit,60.4
modtrans_commun,29.1
tx_pauvrete60_diff,10
nivvie_median_diff,26520
part_pauvres_diff,10
part_modestes_diff,18.1
part_medians_diff,21.3
part_plutot_aises_diff,31.9
part_aises_diff,18.7
D1_diff,13160
D9_diff,47930
rpt_D9_D1_diff,3.6
tx_pauvrete60_diff_trageRF1,12.2
tx_pauvrete60_diff_trageRF2,11.3
tx_pauvrete60_diff_trageRF3,11.8
tx_pauvrete60_diff_trageRF4,9.8
tx_pauvrete60_diff_trageRF5,6.7
tx_pauvrete60_diff_trageRF6,6.2
PACT,87.8
PPEN,22.1
PPAT,8.2
PPSOC,3.8
PIMPOT,-21.9
acc_ecole,99.4
acc_college,73.5
acc_lycee,67.3
acc_medecin,85.1
acc_dentiste,87.8
acc_pharmacie,89.3
part_eloig,0
